left_ir,right_ir,pos,left_motor,right_motor
374,296,g,24,24
414,305,g,24,24
393,256,g,24,24
381,260,g,24,24
370,249,g,24,24
397,300,g,24,24
408,338,g,24,24
411,359,g,24,24
413,352,g,24,24
399,285,g,24,24
374,262,g,24,24
407,268,g,24,24
406,231,g,24,24
419,215,g,24,24
414,255,g,24,24
413,253,g,24,24
400,276,g,24,24
389,320,g,24,24
379,294,g,24,24
371,264,g,24,24
379,252,g,24,24
405,253,g,24,24
402,222,g,24,24
397,296,g,24,24
413,256,g,24,24
407,308,g,24,24
383,339,g,24,24
375,387,g,24,24
364,411,l,24,-24
383,407,l,24,-24
411,406,l,24,-24
411,358,g,24,24
389,356,g,24,24
386,328,g,24,24
420,296,g,24,24
464,296,g,24,24
495,274,g,24,24
502,284,g,24,24
484,383,g,24,24
482,418,l,24,-24
466,333,g,24,24
452,283,g,24,24
453,282,g,24,24
452,324,g,24,24
448,312,g,24,24
446,338,g,24,24
426,320,g,24,24
394,283,g,24,24
350,280,g,24,24
347,280,g,24,24
353,296,g,24,24
360,565,l,24,-24
436,831,l,24,-24
443,851,l,24,-24
432,840,l,24,-24
407,836,l,24,-24
380,849,l,24,-24
347,842,l,24,-24
325,842,l,24,-24
350,837,l,24,-24
480,838,l,24,-24
674,841,l,24,-24
863,845,x,24,24
957,800,x,24,24
969,684,x,24,24
976,629,x,24,24
980,643,x,24,24
975,648,x,24,24
968,594,x,24,24
972,544,x,24,24
971,488,x,24,24
971,493,x,24,24
969,513,x,24,24
972,540,x,24,24
979,546,x,24,24
980,460,x,24,24
973,304,r,-24,24
972,261,r,-24,24
972,250,r,-24,24
978,256,r,-24,24
981,236,r,-24,24
981,185,r,-24,24
982,187,r,-24,24
982,178,r,-24,24
981,186,r,-24,24
980,243,r,-24,24
972,271,r,-24,24
939,239,r,-24,24
857,208,r,-24,24
739,221,r,-24,24
610,248,g,24,24
493,277,g,24,24
404,248,g,24,24
371,256,g,24,24
368,264,g,24,24
365,278,g,24,24
368,267,g,24,24
361,302,g,24,24
347,318,g,24,24
353,280,g,24,24
376,294,g,24,24
388,333,g,24,24
399,265,g,24,24
379,257,g,24,24
345,262,g,24,24
329,263,g,24,24
326,240,g,24,24
354,302,g,24,24
387,309,g,24,24
336,269,g,24,24
293,272,g,24,24
315,272,g,24,24
374,278,g,24,24
427,276,g,24,24
379,279,g,24,24
329,260,g,24,24
321,262,g,24,24
320,266,g,24,24
355,285,g,24,24
408,292,g,24,24
438,324,g,24,24
442,298,g,24,24
403,267,g,24,24
360,261,g,24,24
338,269,g,24,24
333,256,g,24,24
333,253,g,24,24
322,256,g,24,24
327,265,g,24,24
347,230,g,24,24
347,219,g,24,24
368,308,g,24,24
382,343,g,24,24
371,332,g,24,24
375,277,g,24,24
357,238,g,24,24
345,289,g,24,24
375,318,g,24,24
386,297,g,24,24
414,333,g,24,24
426,390,g,24,24
413,509,l,24,-24
397,634,l,24,-24
382,700,l,24,-24
399,719,l,24,-24
